sample_index,root-cause(s)
670,rootcause3
673,rootcause3
675,rootcause3
684,rootcause3
690,rootcause3
694,rootcause3
696,rootcause3
700,rootcause3
703,rootcause3
704,rootcause3
712,rootcause3
717,rootcause3
720,rootcause3
721,rootcause3
730,rootcause3
735,rootcause3
737,rootcause3
745,rootcause3
768,rootcause3
770,rootcause3
771,rootcause3
781,rootcause3
782,rootcause3
787,rootcause3
791,rootcause3
798,rootcause3
814,rootcause3
816,rootcause3
827,rootcause3
834,rootcause3
836,rootcause3
843,rootcause2&rootcause3
846,rootcause3
852,rootcause3
868,rootcause3
870,rootcause3
871,rootcause3
877,rootcause3
883,rootcause3
890,rootcause3
896,rootcause3
901,rootcause3
913,rootcause3
914,rootcause1
915,rootcause1
916,rootcause1
917,rootcause1
918,rootcause1
919,rootcause1
920,rootcause1
921,rootcause1
922,rootcause1
924,rootcause1
925,rootcause1
926,rootcause1
927,rootcause1
928,rootcause1
929,rootcause1
959,rootcause3
965,rootcause3
966,rootcause3
967,rootcause3
968,rootcause3
970,rootcause3
972,rootcause3
979,rootcause3
980,rootcause2&rootcause3
991,rootcause1
993,rootcause1
997,rootcause3
1004,rootcause3
1007,rootcause1
1009,rootcause3
1021,rootcause1
1022,rootcause2&rootcause3
1033,rootcause3
1034,rootcause1
1037,rootcause1
1045,rootcause3
1050,rootcause3
1077,rootcause3
1079,rootcause3
1084,rootcause3
1085,rootcause3
1093,rootcause2&rootcause3
1113,rootcause3
1119,rootcause3
1124,rootcause3
1130,rootcause3
1142,rootcause1
1145,rootcause3
1159,rootcause3
1162,rootcause3
1168,rootcause3
1169,rootcause3
1170,rootcause3
1171,rootcause1
1184,rootcause2&rootcause3
1202,rootcause3
1208,rootcause3
1213,rootcause3
1214,rootcause3
1221,rootcause3
1226,rootcause3
1234,rootcause3
1239,rootcause3
1240,rootcause3
1246,rootcause3
1250,rootcause1
1251,rootcause1
1252,rootcause1
1255,rootcause1
1257,rootcause1
1258,rootcause1
1278,rootcause3
1283,rootcause3
1301,rootcause3
1342,rootcause3
1367,rootcause3
1372,rootcause3
1378,rootcause3
1380,rootcause1
1382,rootcause3
1388,rootcause3
1394,rootcause2&rootcause3
1397,rootcause2&rootcause3
1401,rootcause3
1402,rootcause2&rootcause3
1403,rootcause3
1406,rootcause3
1414,rootcause1
1415,rootcause3
1418,rootcause3
1424,rootcause3
1426,rootcause3
1428,rootcause3
1429,rootcause3
1430,rootcause3
1436,rootcause3
1439,rootcause3
1440,rootcause3
1446,rootcause3
1461,rootcause3
1466,rootcause3
1471,rootcause3
1481,rootcause2&rootcause3
1490,rootcause1
1492,rootcause3
1495,rootcause3
1503,rootcause3
1504,rootcause3
1513,rootcause3
1515,rootcause2&rootcause3
1531,rootcause2&rootcause3
1540,rootcause1
1547,rootcause1
1573,rootcause1
1574,rootcause3
1577,rootcause2&rootcause3
1579,rootcause3
1588,rootcause3
1622,rootcause3
1629,rootcause2&rootcause3
1650,rootcause2&rootcause3
1662,rootcause2&rootcause3
1664,rootcause3
1667,rootcause2&rootcause3
1668,rootcause2&rootcause3
1672,rootcause2&rootcause3
1675,rootcause2&rootcause3
1681,rootcause2&rootcause3
1715,rootcause3
1720,rootcause2&rootcause3
1721,rootcause2&rootcause3
1733,rootcause2&rootcause3
1735,rootcause2&rootcause3
1741,rootcause2&rootcause3
1750,rootcause3
1751,rootcause2&rootcause3
1756,rootcause3
1757,rootcause3
1758,rootcause2
1759,rootcause2&rootcause3
1760,rootcause3
1761,rootcause2&rootcause3
1762,rootcause3
1763,rootcause3
1764,rootcause3
1765,rootcause3
1766,rootcause3
1767,rootcause3
1768,rootcause3
1769,rootcause3
1770,rootcause3
1771,rootcause3
1772,rootcause3
1773,rootcause3
1774,rootcause3
1775,rootcause3
1776,rootcause2&rootcause3
1777,rootcause3
1778,rootcause3
1779,rootcause3
1780,rootcause2&rootcause3
1781,rootcause1
1782,rootcause3
1783,rootcause3
1784,rootcause3
1785,rootcause3
1786,rootcause1
1787,rootcause3
1788,rootcause3
1789,rootcause3
1790,rootcause3
1791,rootcause3
1792,rootcause3
1793,rootcause3
1794,rootcause3
1795,rootcause3
1796,rootcause3
1797,rootcause3
1798,rootcause3
1799,rootcause3
1800,rootcause3
1801,rootcause3
1802,rootcause3
1803,rootcause3
1804,rootcause3
1805,rootcause3
1806,rootcause3
1807,rootcause3
1808,rootcause3
1809,rootcause3
1810,rootcause3
1811,rootcause3
1812,rootcause3
1813,rootcause3
1814,rootcause3
1815,rootcause3
1816,rootcause3
1817,rootcause3
1818,rootcause3
1819,rootcause3
1820,rootcause3
1821,rootcause3
1822,rootcause3
1823,rootcause1
1824,rootcause1
1825,rootcause1
1826,rootcause3
1827,rootcause3
1828,rootcause3
1829,rootcause3
1830,rootcause3
1831,rootcause3
1832,rootcause3
1833,rootcause3
1834,rootcause3
1835,rootcause3
1836,rootcause3
1837,rootcause3
1838,rootcause3
1839,rootcause3
1840,rootcause3
1841,rootcause3
1842,rootcause3
1843,rootcause1
1844,rootcause3
1845,rootcause3
1846,rootcause1
1847,rootcause3
1848,rootcause3
1849,rootcause3
1850,rootcause3
1851,rootcause3
1852,rootcause1
1853,rootcause3
1854,rootcause3
1855,rootcause3
1856,rootcause2&rootcause3
1857,rootcause2&rootcause3
1858,rootcause2
1859,rootcause3
1860,rootcause3
1861,rootcause2&rootcause3
1862,rootcause3
1863,rootcause3
1864,rootcause3
1865,rootcause2&rootcause3
1866,rootcause3
1867,rootcause3
1868,rootcause3
1869,rootcause3
1870,rootcause3
1871,rootcause3
1872,rootcause2&rootcause3
1873,rootcause3
1874,rootcause3
1875,rootcause3
1876,rootcause2&rootcause3
1877,rootcause3
1878,rootcause1
1879,rootcause1
1880,rootcause3
1881,rootcause3
1882,rootcause3
1883,rootcause1
1884,rootcause1
1885,rootcause3
1886,rootcause3
1887,rootcause1
1888,rootcause1
1889,rootcause3
1890,rootcause3
1891,rootcause3
1892,rootcause3
1893,rootcause3
1894,rootcause3
1895,rootcause3
1896,rootcause3
1897,rootcause3
1898,rootcause3
1899,rootcause3
1900,rootcause3
1901,rootcause3
1902,rootcause3
1903,rootcause3
1904,rootcause1
1905,rootcause3
1906,rootcause3
1907,rootcause3
1908,rootcause3
1909,rootcause3
1910,rootcause3
1911,rootcause3
1912,rootcause3
1913,rootcause1
1914,rootcause1
1915,rootcause3
1916,rootcause3
1917,rootcause3
1918,rootcause1
1919,rootcause3
1920,rootcause3
1921,rootcause3
1922,rootcause2&rootcause3
1923,rootcause2&rootcause3
1924,rootcause1
1925,rootcause2&rootcause3
1926,rootcause3
1927,rootcause2&rootcause3
1928,rootcause2&rootcause3
1929,rootcause3
1930,rootcause3
1931,rootcause1
1932,rootcause3
1933,rootcause3
1934,rootcause3
1935,rootcause3
1936,rootcause2&rootcause3
1937,rootcause1
1938,rootcause1
1939,rootcause3
1940,rootcause3
1941,rootcause3
1942,rootcause3
1943,rootcause3
1944,rootcause3
1945,rootcause3
1946,rootcause3
1947,rootcause3
1948,rootcause3
1949,rootcause3
1950,rootcause3
1951,rootcause3
1952,rootcause3
1953,rootcause3
1954,rootcause3
1955,rootcause3
1956,rootcause3
1957,rootcause3
1958,rootcause1
1959,rootcause3
1960,rootcause3
1961,rootcause3
1962,rootcause3
1963,rootcause3
1964,rootcause3
1965,rootcause3
1966,rootcause3
1967,rootcause3
1968,rootcause3
1969,rootcause3
1970,rootcause3
1971,rootcause3
1972,rootcause3
1973,rootcause1
1974,rootcause3
1975,rootcause3
1976,rootcause2&rootcause3
1977,rootcause3
