,Date & Time,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature3_5,feature3_6,feature3_7,feature3_8,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20_0,feature20_1,feature20_2,feature20_3,feature20_4,feature20_5,feature20_6,feature20_7,feature28_0,feature28_1,feature28_2,feature28_3,feature28_4,feature28_5,feature28_6,feature28_7,feature36_0,feature36_1,feature36_2,feature36_3,feature36_4,feature36_5,feature36_6,feature36_7,feature44_0,feature44_1,feature44_2,feature44_3,feature44_4,feature44_5,feature44_6,feature44_7,feature52_0,feature52_1,feature52_2,feature52_3,feature52_4,feature52_5,feature52_6,feature52_7,feature60,feature61_0,feature61_1,feature61_2,feature61_3,feature61_4,feature61_5,feature61_6,feature61_7,feature69_0,feature69_1,feature69_2,feature69_3,feature69_4,feature69_5,feature69_6,feature69_7,feature77_0,feature77_1,feature77_2,feature77_3,feature77_4,feature77_5,feature77_6,feature77_7,feature85_0,feature85_1,feature85_2,feature85_3,feature85_4,feature85_5,feature85_6,feature85_7
0,	2020-08-13 15:58:42,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,	2020-08-13 15:58:43,0.08,7.0,1.9,4.0,25.0,1.0,0.0,,,,,0.0,10.0,1685.0,56.0,30.0,11.41,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,	2020-08-13 15:58:44,2.42,15.16,3.0,0.0,0.0,61.0,0.0,,,,,0.0,1.64,12430.0,204.0,61.0,12.46,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,	2020-08-13 15:58:45,40.91,18.21,3.0,0.0,0.0,478.0,0.0,,,,,0.0,1.9,115633.0,242.0,477.0,12.58,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,	2020-08-13 15:58:46,268.92,21.59,3.51,0.0,0.0,259.0,266.0,,,,,0.0,4.91,127054.0,242.0,526.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,	2020-08-13 15:58:47,297.54,22.3,3.9,0.0,0.0,54.0,464.0,,,,,0.0,13.9,122712.0,237.0,518.0,13.28,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,	2020-08-13 15:58:48,284.53,20.55,4.0,0.0,0.0,0.0,571.0,,,,,0.0,12.61,135926.0,238.0,571.0,13.26,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,	2020-08-13 15:58:49,316.21,20.25,4.0,0.0,0.0,0.0,549.0,,,,,0.0,11.48,126496.0,230.0,549.0,13.32,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,	2020-08-13 15:58:50,291.88,19.57,4.0,0.0,0.0,0.0,540.0,,,,,0.0,8.7,127374.0,236.0,540.0,13.38,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,	2020-08-13 15:58:51,288.78,19.95,4.0,0.0,0.0,0.0,545.0,,,,,0.0,11.03,128356.0,236.0,544.0,13.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
