Date & Time,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature3_5,feature3_6,feature3_7,feature3_8,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20_0,feature20_1,feature20_2,feature20_3,feature20_4,feature20_5,feature20_6,feature20_7,feature28_0,feature28_1,feature28_2,feature28_3,feature28_4,feature28_5,feature28_6,feature28_7,feature36_0,feature36_1,feature36_2,feature36_3,feature36_4,feature36_5,feature36_6,feature36_7,feature44_0,feature44_1,feature44_2,feature44_3,feature44_4,feature44_5,feature44_6,feature44_7,feature52_0,feature52_1,feature52_2,feature52_3,feature52_4,feature52_5,feature52_6,feature52_7,feature60,feature61_0,feature61_1,feature61_2,feature61_3,feature61_4,feature61_5,feature61_6,feature61_7,feature69_0,feature69_1,feature69_2,feature69_3,feature69_4,feature69_5,feature69_6,feature69_7,feature77_0,feature77_1,feature77_2,feature77_3,feature77_4,feature77_5,feature77_6,feature77_7,feature85_0,feature85_1,feature85_2,feature85_3,feature85_4,feature85_5,feature85_6,feature85_7
2020-09-24 00:45:03,257.38,12.15,2.6,32,442,787,0,,,,,0.0,8.85,311028,247,1261,13.26,2,-10.5,-66.5,18.0,19.0,8.0,26.0,11.0,2.0,28.0,10.0,-91.13,-76.5,-85.69,-84.56,-77.88,-86.31,-89.31,-84.88,-68.25,-75.19,-70.44,-68.81,-65.94,-64.94,-75.31,-70.88,,,,,,,,,,,,,,,,,-58.75,-17.69,-9.63,-18.06,-7.88,-12.31,-13.81,-13.75,-17.75,-10.69,-14.31,-11.0,-10.38,-5.38,-10.75,-11.44,-17.56,,,,,,,,,,,,,,,,
2020-09-24 00:45:04,273.5,14.05,1.98,31,1365,0,0,,,,,0.0,8.53,346157,248,1396,10.96,2,-9.0,-64.5,28.0,21.0,11.0,4.0,20.0,12.0,8.0,19.0,-91.94,-91.38,-77.88,-92.88,-83.88,-83.69,-83.13,-80.25,-70.0,-70.25,-67.94,-64.0,-64.56,-64.56,-70.81,-68.13,,,,,,,,,,,,,,,,,-51.88,-18.44,-14.5,-13.25,-17.56,-18.38,-17.81,-14.75,-17.94,-14.0,-12.06,-12.69,-5.38,-14.5,-14.63,-14.88,-13.25,,,,,,,,,,,,,,,,
2020-09-24 00:45:05,252.71,12.75,1.98,31,1452,0,0,,,,,0.0,8.89,367607,248,1483,10.54,2,-12.38,-67.88,12.0,13.0,8.0,9.0,11.0,20.0,15.0,19.0,-90.13,-95.88,-88.38,-92.94,-89.81,-87.75,-91.5,-81.31,-71.69,-75.13,-75.25,-73.5,-69.69,-63.88,-73.44,-70.44,,,,,,,,,,,,,,,,,-58.63,-17.81,-17.0,-17.94,-17.63,-18.63,-16.69,-14.0,-9.38,-18.31,-17.75,-18.0,-12.94,-7.06,-10.25,-11.13,-11.44,,,,,,,,,,,,,,,,
2020-09-24 00:45:06,244.3,13.14,1.97,36,1277,0,0,,,,,0.0,8.07,324265,247,1314,9.84,2,-10.38,-70.13,28.0,21.0,8.0,4.0,12.0,13.0,20.0,19.0,-94.0,-90.88,-86.13,-91.56,-85.81,-96.75,-88.19,-85.56,-74.56,-77.25,-79.63,-78.56,-63.0,-72.38,-75.69,-72.81,,,,,,,,,,,,,,,,,-55.13,-11.44,-12.25,-18.31,-11.69,-12.88,-17.75,-12.81,-13.56,-11.44,-14.38,-18.19,-11.56,-6.06,-12.31,-18.06,-8.13,,,,,,,,,,,,,,,,
2020-09-24 00:45:07,202.53,11.95,1.97,36,1237,0,0,,,,,0.09,8.14,313389,246,1272,9.38,2,-7.88,-73.38,12.0,13.0,8.0,20.0,4.0,3.0,15.0,27.0,-77.38,-90.81,-82.0,-76.63,-83.19,-95.19,-94.88,-95.75,-78.13,-81.19,-78.75,-73.63,-80.0,-78.69,-81.19,-81.0,,,,,,,,,,,,,,,,,-72.75,-5.69,-11.75,-10.25,-10.56,-6.31,-14.31,-16.38,-16.13,-17.31,-11.06,-14.56,-13.75,-3.0,-8.56,-10.94,-10.69,,,,,,,,,,,,,,,,
2020-09-24 00:45:08,197.02,10.84,1.98,32,1351,0,0,,,,,0.0,9.12,342384,248,1383,8.38,2,-9.88,-73.63,27.0,13.0,21.0,28.0,11.0,20.0,19.0,10.0,-97.06,-82.75,-93.25,-98.19,-90.44,-83.81,-91.63,-93.81,-78.38,-72.81,-74.56,-78.31,-73.63,-76.75,-78.63,-76.0,,,,,,,,,,,,,,,,,-58.88,-17.75,-7.63,-17.75,-16.81,-18.69,-12.63,-14.25,-18.75,-8.69,-10.19,-12.25,-12.94,-12.94,-18.69,-15.13,-10.44,,,,,,,,,,,,,,,,
2020-09-24 00:45:09,158.42,11.69,1.63,487,833,0,0,,,,,0.08,8.79,326386,247,1320,8.12,1,-12.0,-71.63,12.0,28.0,8.0,19.0,11.0,20.0,3.0,10.0,-82.38,-93.38,-88.81,-82.25,-86.38,-86.25,-91.44,-94.63,-75.25,-75.56,-79.19,-72.31,-68.19,-72.5,-77.0,-79.56,,,,,,,,,,,,,,,,,-59.63,-10.13,-14.31,-14.5,-8.25,-18.88,-16.63,-14.75,-14.31,-17.69,-8.44,-17.44,-9.44,-11.5,-12.31,-8.88,-13.69,,,,,,,,,,,,,,,,
2020-09-24 00:45:10,121.73,13.37,1.0,1414,0,0,0,,,,,0.0,12.53,351156,248,1415,6.94,1,-6.38,-72.25,19.0,12.0,11.0,20.0,14.0,10.0,3.0,8.0,-90.0,-91.94,-88.25,-91.0,-93.81,-95.88,-97.75,-92.75,-84.31,-73.75,-74.31,-80.94,-78.69,-85.0,-75.25,-78.88,,,,,,,,,,,,,,,,,-57.63,-14.69,-18.75,-18.56,-17.81,-12.88,-18.31,-18.25,-15.63,-18.31,-11.19,-14.63,-15.94,-4.0,-17.81,-8.19,-11.19,,,,,,,,,,,,,,,,
2020-09-24 00:45:11,86.9,9.24,1.0,1377,0,0,0,,,,,0.0,6.77,342478,249,1377,6.08,1,-9.25,-70.88,10.0,3.0,20.0,9.0,11.0,19.0,12.0,15.0,-93.25,-93.63,-93.81,-97.5,-86.81,-88.19,-79.5,-92.75,-78.94,-73.63,-74.56,-79.5,-72.69,-76.44,-68.69,-78.81,,,,,,,,,,,,,,,,,-56.13,-17.5,-18.19,-17.38,-19.5,-18.13,-14.44,-9.0,-13.06,-14.56,-4.0,-9.94,-10.63,-18.0,-11.56,-11.19,-12.75,,,,,,,,,,,,,,,,
2020-09-24 00:45:12,72.9,8.52,1.0,1291,0,0,0,,,,,0.0,8.52,322396,250,1290,4.92,1,-12.5,-73.38,12.0,13.0,8.0,18.0,11.0,17.0,3.0,10.0,-91.25,-99.06,-97.06,-91.0,-80.06,-91.63,-90.0,-81.19,-76.5,-82.25,-78.5,-77.69,-71.31,-81.13,-74.44,-81.75,,,,,,,,,,,,,,,,,-56,-17.63,-18.25,-18.25,-11.38,-15.0,-8.44,-12.81,-5.25,-14.25,-11.44,-8.25,-12.25,-10.19,-9.38,-5.19,-18.88,,,,,,,,,,,,,,,,
2020-09-24 00:45:13,75.96,8.52,1.0,1385,0,0,0,,,,,0.08,8.38,344661,249,1385,4.12,1,-9.38,-69.38,10.0,15.0,12.0,19.0,27.0,11.0,14.0,13.0,-79.19,-90.69,-80.5,-88.69,-98.06,-88.31,-98.31,-95.06,-81.81,-76.0,-68.5,-81.38,-79.19,-69.88,-79.44,-79.13,,,,,,,,,,,,,,,,,-66.5,-5.25,-13.5,-10.31,-14.56,-18.38,-17.31,-17.94,-16.81,-18.63,-14.5,-12.38,-16.94,-9.63,-14.25,-14.5,-13.38,,,,,,,,,,,,,,,,
2020-09-24 00:45:14,60.97,7.35,1.0,1340,0,0,0,,,,,0.41,8.14,335103,250,1340,3.86,1,-8.5,-68.88,12.0,2.0,3.0,20.0,11.0,14.0,0.0,10.0,-84.25,-96.31,-86.44,-90.94,-78.13,-89.56,-100.63,-87.38,-67.44,-74.69,-74.19,-76.94,-68.75,-78.44,-79.88,-77.38,,,,,,,,,,,,,,,,,-56.88,-12.88,-17.25,-14.19,-18.44,-12.81,-7.81,-18.13,-14.25,-8.75,-8.81,-6.81,-14.06,-10.94,-9.19,-8.81,-14.56,,,,,,,,,,,,,,,,
2020-09-24 00:45:15,53.99,8.28,1.0,1153,0,0,0,,,,,0.19,10.31,285497,248,1153,3.2,1,-10.75,-72.88,12.0,23.0,16.0,2.0,11.0,14.0,19.0,3.0,-82.63,-99.31,-96.69,-85.69,-81.38,-99.13,-83.63,-79.88,-76.56,-79.81,-78.06,-77.81,-72.25,-77.88,-77.38,-75.31,,,,,,,,,,,,,,,,,-67,-11.19,-18.38,-14.38,-8.56,-11.5,-18.31,-9.56,-11.63,-14.25,-9.56,-7.19,-11.25,-14.63,-10.13,-9.75,-12.31,,,,,,,,,,,,,,,,
2020-09-24 00:45:16,72.38,9.6,1.0,1239,0,0,0,,,,,0.45,9.65,305406,246,1239,3.56,1,-11.0,-70.5,12.0,19.0,4.0,9.0,11.0,3.0,2.0,10.0,-84.56,-82.5,-81.5,-96.75,-79.13,-75.19,-84.88,-91.69,-81.06,-81.44,-89.0,-81.81,-80.0,-76.94,-80.13,-80.06,,,,,,,,,,,,,,,,,-57.25,-14.13,-10.25,-14.25,-18.44,-14.69,-11.19,-11.69,-16.75,-14.88,-11.44,-17.88,-14.44,-16.56,-11.25,-10.88,-16.44,,,,,,,,,,,,,,,,
2020-09-24 00:45:17,61.84,9.36,1.0,1213,0,0,0,,,,,0.75,10.92,298129,246,1213,5.46,1,-11.13,-65.5,12.0,2.0,4.0,19.0,11.0,6.0,3.0,27.0,-69.13,-72.56,-73.38,-72.88,-68.19,-75.56,-63.44,-76.63,-78.44,-74.75,-79.13,-74.81,-74.63,-87.5,-67.06,-74.81,,,,,,,,,,,,,,,,,-68.13,-13.94,-10.19,-17.13,-12.31,-16.5,-8.06,-11.19,-14.06,-12.63,-13.06,-17.88,-11.44,-12.25,-18.69,-12.38,-10.38,,,,,,,,,,,,,,,,
