Date & Time,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature3_5,feature3_6,feature3_7,feature3_8,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20_0,feature20_1,feature20_2,feature20_3,feature20_4,feature20_5,feature20_6,feature20_7,feature28_0,feature28_1,feature28_2,feature28_3,feature28_4,feature28_5,feature28_6,feature28_7,feature36_0,feature36_1,feature36_2,feature36_3,feature36_4,feature36_5,feature36_6,feature36_7,feature44_0,feature44_1,feature44_2,feature44_3,feature44_4,feature44_5,feature44_6,feature44_7,feature52_0,feature52_1,feature52_2,feature52_3,feature52_4,feature52_5,feature52_6,feature52_7,feature60,feature61_0,feature61_1,feature61_2,feature61_3,feature61_4,feature61_5,feature61_6,feature61_7,feature69_0,feature69_1,feature69_2,feature69_3,feature69_4,feature69_5,feature69_6,feature69_7,feature77_0,feature77_1,feature77_2,feature77_3,feature77_4,feature77_5,feature77_6,feature77_7,feature85_0,feature85_1,feature85_2,feature85_3,feature85_4,feature85_5,feature85_6,feature85_7
2020-09-26 00:07:08,198.26,11.55,1.52,728,794,0,0,,,,,0.0,7.1,392517,258,1522,11.0,1,-1.5,-106.25,0.0,1.0,3.0,2.0,,,,,-111.75,-108.94,-114.06,-110.88,,,,,-115.25,-110.81,-116.25,-114.69,,,,,,,,,,,,,,,,,,,,,-107.88;-110.38;-105.50,-6.06,-6.44,-8.31,-3.81,,,,,-9.5,-6.06,-11.13,-7.5,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:09,115.14,12.45,1.0,1236,0,0,0,,,,,0.0,7.72,315673,255,1236,8.04,1,-5.13,-107.88,0.0,1.0,3.0,2.0,,,,,-110.25,-109.31,-110.38,-108.75,,,,,-111.44,-110.56,-111.88,-110.94,,,,,,,,,,,,,,,,,,,,,-114.88;-113.50;-111.13,-5.75,-8.19,-4.63,-1.69,,,,,-5.56,-7.19,-4.63,-3.31,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:10,121.71,6.98,1.96,57,1295,0,0,,,,,0.0,7.28,347573,257,1352,7.1,2,-2.5,-106.25,0.0,1.0,3.0,2.0,,,,,-109.06,-108.31,-106.44,-113.44,,,,,-112.69,-108.81,-109.25,-113.44,,,,,,,,,,,,,,,,,,,,,-112.38;-112.25;-110.63,-3.13,-7.38,-1.44,-6.94,,,,,-6.19,-3.69,-3.75,-7.5,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:11,97.06,10.96,1.58,520,707,0,0,,,,,0.0,9.98,313774,256,1228,6.94,1,-4.75,-107.0,0.0,1.0,3.0,2.0,,,,,-121.94,-110.75,-110.81,-110.63,,,,,-112.19,-107.19,-110.44,-116.44,,,,,,,,,,,,,,,,,,,,,-111.75;-106.88;-102.13,-16.94,-11.38,-4.75,-3.69,,,,,-6.5,-5.0,-5.63,-11.38,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:12,70.95,17.36,1.0,914,0,0,0,,,,,0.12,9.63,233411,255,914,9.46,1,-0.88,-104.75,0.0,1.0,3.0,2.0,,,,,-108.69,-107.56,-105.63,-110.38,,,,,-108.25,-106.69,-104.06,-114.5,,,,,,,,,,,,,,,,,,,,,-112.13;-110.00;-110.50,-3.69,-4.5,-0.75,-3.25,,,,,-2.88,-3.56,1.56,-8.0,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:13,59.85,14.54,1.0,895,0,0,0,,,,,0.0,6.49,227102,254,895,7.24,1,-6.88,-105.5,0.0,1.0,3.0,2.0,,,,,-104.88,-103.19,-111.88,-112.25,,,,,-116.88,-113.44,-115.44,-118.19,,,,,,,,,,,,,,,,,,,,,-107.63;-106.13;-105.75,7.19,-6.63,-7.38,-8.56,,,,,-11.63,-9.88,-9.5,-12.25,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:14,80.8,17.99,1.0,1078,0,0,0,,,,,0.0,9.96,258698,240,1077,7.78,1,-2.75,-106.5,0.0,1.0,3.0,2.0,,,,,-109.69,-105.94,-106.75,-115.94,,,,,-118.13,-111.75,-112.13,-120.5,,,,,,,,,,,,,,,,,,,,,-108.75;-105.63;-99.00,-7.13,-10.0,-3.56,-12.44,,,,,-12.5,-12.63,-7.31,-13.75,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:15,110.08,16.71,1.0,1474,0,0,0,,,,,0.0,9.91,380499,258,1474,9.28,1,-7.63,-106.63,0.0,1.0,3.0,2.0,,,,,-112.94,-106.88,-109.63,-119.75,,,,,-112.38,-107.75,-113.13,-124.75,,,,,,,,,,,,,,,,,,,,,-110.88;-103.50;-102.13,-9.38,-10.13,-5.69,-17.75,,,,,-7.31,-6.38,-7.81,-17.56,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:16,107.42,16.38,1.0,1442,0,0,0,,,,,0.0,8.92,364838,253,1443,9.34,1,-3.5,-104.25,0.0,1.0,3.0,2.0,,,,,-111.13,-111.81,-112.13,-114.63,,,,,-102.69,-104.81,-109.38,-116.63,,,,,,,,,,,,,,,,,,,,,-115.00;-107.63;-104.88,-7.0,-13.88,-8.56,-10.94,,,,,9.19,-3.94,-6.13,-12.0,,,,,,,,,,,,,,,,,,,,
2020-09-26 00:07:17,100.49,15.53,1.0,1472,0,0,0,,,,,0.0,8.99,380226,258,1471,9.66,1,-8.5,-103.0,0.0,1.0,3.0,2.0,,,,,-110.06,-107.38,-113.06,-112.19,,,,,-111.19,-102.38,-109.63,-116.75,,,,,,,,,,,,,,,,,,,,,-110.13;-99.38;-94.88,-11.94,-14.25,-13.0,-12.81,,,,,-11.13,-8.94,-7.5,-13.94,,,,,,,,,,,,,,,,,,,,
